,제목,평점,장르,줄거리
0,극장판 귀멸의 칼날: 무한열차편,9,애니메이션,"혈귀로 변해버린 여동생 ‘네즈코’를 인간으로 되돌릴 단서를 찾아 비밀조직 귀살대에 들어간 ‘탄지로.’‘젠이츠’, ‘이노스케’와 새로운 임무 수행을 위해 무한열차에 탑승 후귀살대 최강 검사 염주 ‘렌고쿠’와 합류한다.달리는 무한열차에서 승객들이 하나 둘 흔적 없이 사라지자숨어있는 식인 혈귀의 존재를 직감하는 ‘렌고쿠’.귀살대 ‘탄지로’ 일행과 최강 검사 염주 ‘렌고쿠’는어둠 속을 달리는 무한열차에서 모두의 목숨을 구하기 위해예측불가능한 능력을 가진 혈귀와 목숨을 건 혈전을 시작하는데…"
1,콰이어트 플레이스,7,공포/스릴러,소리를 내는 순간 공격받는 극한의 상황 속에서 살아남기 위한 한 가족의 숨막히는 사투를 그린 이야기< 생존 법칙 >1. 어떤 소리도 내지 말 것2. 아무 말도 하지 말 것3. 붉은 등이 켜지면 무조건 도망갈 것
2,킬러의 보디가드,8,액션,"세상 제일 잘난 맛에 사는 섭외 1순위 앵그리 보디가드가지명수배 1순위 구강 액션 지존 킬러를 보호하게 되면서 벌어지는누가 누구를 지키는 지 모를, 서로 못 죽여서 안달 난브로맨스 제로, 환장 케미의 킬링 액션 블록버스터"
3,미나리,7,드라마,"""미나리는 어디서든 잘 자라""낯선 미국, 아칸소로 떠나온 한국 가족.가족들에게 뭔가 해내는 걸 보여주고 싶은 아빠 '제이콥'(스티븐 연)은자신만의 농장을 가꾸기 시작하고 엄마 '모니카'(한예리)도 다시 일자리를 찾는다.아직 어린 아이들을 위해 ‘모니카’의 엄마 ‘순자’(윤여정)가 함께 살기로 하고가방 가득 고춧가루, 멸치, 한약 그리고 미나리씨를 담은 할머니가 도착한다.의젓한 큰딸 '앤'(노엘 케이트 조)과 장난꾸러기 막내아들 '데이빗'(앨런 김)은여느 그랜마같지 않은 할머니가 영- 못마땅한데…함께 있다면, 새로 시작할 수 있다는 희망으로하루하루 뿌리 내리며 살아가는어느 가족의 아주 특별한 여정이 시작된다!"
4,소울,9,애니메이션,"뉴욕에서 음악 선생님으로 일하던 ‘조’는꿈에 그리던 최고의 밴드와 재즈 클럽에서 연주하게 된 그 날,예기치 못한 사고로 영혼이 되어 ‘태어나기 전 세상’에 떨어진다.탄생 전 영혼들이 멘토와 함께 자신의 관심사를 발견하면 지구 통행증을 발급하는 ‘태어나기 전 세상’‘조’는 그 곳에서 유일하게 지구에 가고 싶어하지 않는 시니컬한 영혼 ‘22’의 멘토가 된다.링컨, 간디, 테레사 수녀도 멘토되길 포기한 영혼 ‘22’꿈의 무대에 서려면 ‘22’의 지구 통행증이 필요한 ‘조’그는 다시 지구로 돌아가 꿈의 무대에 설 수 있을까?"
5,크루엘라,9,드라마,"처음부터 난 알았어. 내가 특별하단 걸그게 불편한 인간들도 있겠지만 모두의 비위를 맞출 수는 없잖아?그러다 보니 결국, 학교를 계속 다닐 수가 없었지우여곡절 런던에 오게 된 나, 에스텔라는 재스퍼와 호레이스를 운명처럼 만났고나의 뛰어난 패션 감각을 이용해 완벽한 변장과 빠른 손놀림으로 런던 거리를 싹쓸이 했어도둑질이 지겹게 느껴질 때쯤, 꿈에 그리던 리버티 백화점에 낙하산(?)으로 들어가게 됐어거리를 떠돌았지만 패션을 향한 나의 열정만큼은 언제나 진심이었거든근데 이게 뭐야, 옷에는 손도 못 대보고 하루 종일 바닥 청소라니인내심에 한계를 느끼고 있을 때, 런던 패션계를 꽉 쥐고 있는 남작 부인이 나타났어천재는 천재를 알아보는 법! 난 남작 부인의 브랜드 디자이너로 들어가게 되었지꿈을 이룰 것 같았던 순간도 잠시, 세상에 남작 부인이 ‘그런 사람’이었을 줄이야…그래서 난 내가 누군지 보여주기로 했어잘가, 에스텔라난 이제 크루엘라야!"
6,자산어보,9,드라마,"“이 양반은 대역 죄인이니 너무 잘해줄 생각들 말어”순조 1년, 신유박해로 세상의 끝 흑산도로 유배된 ‘정약전’.호기심 많은 '정약전'은 그 곳에서 바다 생물에 매료되어 책을 쓰기로 한다.이에 바다를 훤히 알고 있는 청년 어부 ‘창대’에게 도움을 구하지만‘창대’는 죄인을 도울 수 없다며 단칼에 거절한다.“내가 아는 지식과 너의 물고기 지식을 바꾸자""‘창대’가 혼자 글 공부를 하며 어려움을 겪고 있다는 것을 알게 된 ‘정약전’은 서로의 지식을 거래하자고 제안하고거래라는 말에 ‘창대’는 못 이기는 척 받아들인다.둘은 티격태격하면서도 점차 서로의 스승이자 벗이 되어 간다.""너 공부해서 출세하고 싶지?""그러던 중 '창대'가 출세하기 위해 공부에 매진했다는 사실을 알게 된 '정약전'은 크게 실망한다.‘창대’ 역시 '정약전'과는 길이 다르다는 것을 깨닫고'정약전'의 곁을 떠나 세상 밖으로 나가고자 결심하는데..."
7,크루즈 패밀리: 뉴 에이지,9,액션,"동굴을 떠나 새로운 거주지를 찾아 나선 크루즈 패밀리.우여곡절 끝에 찾은 완벽한 트리 하우스에서 진화된 인류, 베터맨 패밀리와 마주한다.도구를 사용하고 ‘집’에서 안전하게 살아가는 지능형 베터맨 패밀리와맨손으로 사냥하고 자연과 함께 살아가는 본능형 크루즈 패밀리는너무나도 다른 삶의 방식으로 사사건건 부딪힌다.반면 처음으로 여자 사람친구를 만난 ‘이프’와 ‘던’은 가족들과 달리 우정을 쌓아가지만점점 두 가족에게 예상치 못한 위협이 닥쳐오는데…"
8,조커,8,드라마,고담시의 광대 아서 플렉은 코미디언을 꿈꾸는 남자.하지만 모두가 미쳐가는 코미디 같은 세상에서맨 정신으로는 그가 설 자리가 없음을 깨닫게 되는데…이제껏 본 적 없는 진짜 ‘조커’를 만나라!
10,어벤져스: 엔드게임,9,액션,인피니티 워 이후 절반만 살아남은 지구마지막 희망이 된 어벤져스먼저 떠난 그들을 위해 모든 것을 걸었다!위대한 어벤져스운명을 바꿀 최후의 전쟁이 펼쳐진다!
11,라라랜드,8,드라마,"꿈을 꾸는 사람들을 위한 별들의 도시 ‘라라랜드’.재즈 피아니스트 ‘세바스찬’(라이언 고슬링)과 배우 지망생 ‘미아’(엠마 스톤),인생에서 가장 빛나는 순간 만난 두 사람은미완성인 서로의 무대를 만들어가기 시작한다."
